Gmt time,Volume,Open,High,Low,Close
12.12.2012 00:00:00.000,11011.3902,1.23492,1.23589,1.23383,1.2352
12.12.2012 04:00:00.000,13271.5599,1.23521,1.23551,1.23386,1.23434
12.12.2012 08:00:00.000,26716.2305,1.23435,1.23637,1.233305,1.234905
12.12.2012 12:00:00.000,28430.1602,1.23491,1.237285,1.23485,1.23681
12.12.2012 16:00:00.000,33124.1904,1.2368,1.2387,1.236285,1.238205
12.12.2012 20:00:00.000,12511.14,1.238205,1.239455,1.23781,1.238975
13.12.2012 00:00:00.000,13014.5603,1.23895,1.23978,1.2378,1.239665
13.12.2012 04:00:00.000,13104.6699,1.239685,1.240975,1.23936,1.239555
13.12.2012 08:00:00.000,28629.3398,1.239555,1.24114,1.237085,1.23827
13.12.2012 12:00:00.000,32854.7207,1.238275,1.24095,1.237255,1.240745
13.12.2012 16:00:00.000,21160.5798,1.240745,1.244045,1.24032,1.24358
13.12.2012 20:00:00.000,11074.3797,1.24358,1.243825,1.24169,1.241755
14.12.2012 00:00:00.000,14031.7501,1.241775,1.243885,1.241635,1.24252
14.12.2012 04:00:00.000,17071.2102,1.242545,1.24312,1.24137,1.242265
14.12.2012 08:00:00.000,27794.4799,1.242245,1.244445,1.240295,1.243425
14.12.2012 12:00:00.000,32669.3999,1.243435,1.24469,1.24122,1.243335
14.12.2012 16:00:00.000,23768.3003,1.24334,1.245935,1.243035,1.245935
14.12.2012 20:00:00.000,6875.52,1.24595,1.24648,1.24533,1.24574
16.12.2012 20:00:00.000,9089.1399,1.248015,1.250795,1.24679,1.247575
17.12.2012 00:00:00.000,12475.2901,1.247585,1.2488,1.24677,1.248245
17.12.2012 04:00:00.000,12916.4497,1.24822,1.24986,1.24799,1.24905
17.12.2012 08:00:00.000,24241.7197,1.249025,1.24979,1.247665,1.24788
17.12.2012 12:00:00.000,26798.5097,1.24786,1.250205,1.247565,1.24855
17.12.2012 16:00:00.000,16659.1202,1.248535,1.24912,1.247095,1.2479
17.12.2012 20:00:00.000,9699.1802,1.247905,1.248455,1.24696,1.248185
18.12.2012 00:00:00.000,12167.57,1.248185,1.25007,1.247305,1.249225
18.12.2012 04:00:00.000,11575.6902,1.24924,1.250765,1.24905,1.24993
18.12.2012 08:00:00.000,23626.0298,1.249945,1.25243,1.248735,1.252015
18.12.2012 12:00:00.000,28292.3901,1.25203,1.2537,1.25083,1.253615
18.12.2012 16:00:00.000,23108.0898,1.253665,1.25709,1.25361,1.255585
18.12.2012 20:00:00.000,12405.9201,1.25559,1.25849,1.254945,1.257785
19.12.2012 00:00:00.000,13425.4799,1.257785,1.260435,1.25725,1.25948
19.12.2012 04:00:00.000,14015.9098,1.259485,1.26008,1.256935,1.257855
19.12.2012 08:00:00.000,28909.4697,1.25786,1.264335,1.25713,1.2638
19.12.2012 12:00:00.000,34345.9702,1.26379,1.268125,1.26298,1.263305
19.12.2012 16:00:00.000,18942.3996,1.263285,1.264005,1.260805,1.26232
19.12.2012 20:00:00.000,18996.44,1.262335,1.262915,1.25909,1.261285
20.12.2012 00:00:00.000,15469.5601,1.261305,1.2637,1.260815,1.263095
20.12.2012 04:00:00.000,16464.7402,1.2631,1.26363,1.259085,1.2597
20.12.2012 08:00:00.000,25211.92,1.259705,1.264565,1.259425,1.26381
20.12.2012 12:00:00.000,39731.6401,1.2638,1.268295,1.262945,1.264005
20.12.2012 16:00:00.000,19963.4401,1.263965,1.263985,1.261685,1.26283
20.12.2012 20:00:00.000,11505.2501,1.262825,1.264435,1.26264,1.263105
21.12.2012 00:00:00.000,25216.7007,1.263125,1.26429,1.26219,1.263155
21.12.2012 04:00:00.000,14919.3903,1.263185,1.26477,1.261665,1.26418
21.12.2012 08:00:00.000,29858.9097,1.264215,1.270015,1.263555,1.264765
21.12.2012 12:00:00.000,37093.1792,1.264755,1.26715,1.26322,1.26337
21.12.2012 16:00:00.000,21157.8998,1.26335,1.266535,1.262955,1.266335
21.12.2012 20:00:00.000,7077.5701,1.266335,1.26871,1.266205,1.268255
23.12.2012 20:00:00.000,5435.24,1.267025,1.26806,1.26629,1.26795
24.12.2012 00:00:00.000,11030.0298,1.267925,1.26845,1.266665,1.26746
24.12.2012 04:00:00.000,8774.28,1.267445,1.26765,1.265965,1.267395
24.12.2012 08:00:00.000,19824.2502,1.267375,1.272435,1.26725,1.270345
24.12.2012 12:00:00.000,18781.9099,1.270315,1.273715,1.270215,1.271745
24.12.2012 16:00:00.000,12984.33,1.2717,1.27297,1.270435,1.272935
24.12.2012 20:00:00.000,9074.4103,1.272935,1.27344,1.27126,1.2714
25.12.2012 00:00:00.000,6525.68,1.271535,1.27227,1.27031,1.27083
25.12.2012 04:00:00.000,4264.73,1.270835,1.273675,1.26954,1.271335
25.12.2012 08:00:00.000,4196.9,1.271335,1.27264,1.267155,1.271505
25.12.2012 12:00:00.000,1493.55,1.27111,1.27306,1.27075,1.271875
25.12.2012 16:00:00.000,2411.99,1.2701,1.27168,1.26979,1.271405
25.12.2012 20:00:00.000,5244.3301,1.2714,1.27254,1.26969,1.27064
26.12.2012 00:00:00.000,10725.5699,1.27063,1.272555,1.2706,1.27216
26.12.2012 04:00:00.000,11305.6199,1.272145,1.27341,1.27069,1.27318
26.12.2012 08:00:00.000,21868.48,1.27318,1.276305,1.272465,1.275295
26.12.2012 12:00:00.000,23612.4099,1.275305,1.278325,1.272365,1.27675
